Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time
2018-10-29,Seated Dumbbell Press,Shoulders,18.0,10,,,
2018-10-29,Seated Dumbbell Press,Shoulders,18.0,9,,,
2018-10-29,Seated Dumbbell Press,Shoulders,18.0,8,,,
2018-10-29,Seated Dumbbell Press,Shoulders,18.0,8,,,
2018-10-29,Seated Dumbbell Press,Shoulders,18.0,7,,,
2018-10-29,Chin Up,Back,73.0,5,,,
2018-10-29,Chin Up,Back,73.0,5,,,
2018-10-29,Chin Up,Back,73.0,5,,,
2018-10-29,Chin Up,Back,73.0,5,,,
2018-10-29,Chin Up,Back,73.0,4,,,
2018-10-29,Ring Dip,Triceps,68.0,15,,,
2018-10-29,Ring Dip,Triceps,73.0,15,,,
2018-10-29,Ring Dip,Triceps,73.0,12,,,
2018-10-29,Ring Dip,Triceps,73.0,12,,,
2018-10-29,Ring Dip,Triceps,73.0,12,,,
2018-10-29,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-10-29,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-10-29,Seated Calf Raise Machine,Legs,30.0,25,,,
2018-10-29,Seated Calf Raise Machine,Legs,30.0,24,,,
2018-10-29,Seated Calf Raise Machine,Legs,30.0,20,,,
2018-10-29,Leg Press,Legs,100.0,12,,,
2018-10-29,Leg Press,Legs,100.0,12,,,
2018-10-29,Leg Press,Legs,100.0,12,,,
2018-10-29,Leg Press,Legs,100.0,12,,,
2018-10-29,Leg Press,Legs,100.0,12,,,
2018-10-30,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-10-30,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-10-30,Seated Calf Raise Machine,Legs,30.0,30,,,
2018-10-30,Seated Calf Raise Machine,Legs,30.0,20,,,
2018-10-30,Seated Calf Raise Machine,Legs,30.0,20,,,
2018-10-31,Seated Dumbbell Press,Shoulders,20.0,10,,,
2018-10-31,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-10-31,Seated Dumbbell Press,Shoulders,20.0,8,,,
2018-10-31,Seated Dumbbell Press,Shoulders,20.0,7,,,
2018-10-31,Seated Dumbbell Press,Shoulders,20.0,6,,,
2018-10-31,Chin Up,Back,73.0,5,,,
2018-10-31,Chin Up,Back,73.0,5,,,
